,title,desc,link,date,year,month,day,datenoyear,placeQID,placename
531,26.05.07  - Biella e Roma: ragazze sfregiate con una svastica," 26.05.07  - Biella e Roma: ragazze sfregiate con una svastica
«Ho un’altra svastica sul braccio». Oriana dice che gliel’ha fatta lo stesso ragazzo: quello che venti mesi fa, a fine settembre 2005, l’aggredì in un vicolo, urlandole «sporca negra». Lei aveva 13 anni, lui 16. Al liceo Giulio Cesare di Roma sarebbe avvenuta la stessa cosa, che però non ha trovato risalto sui giornali. Anche lì la ragazza è stata fermata dai compagni, che con un temperino le hanno disegnato una svastica sulla guancia.",/antifa/article/1465/BiellaeRomaragazzesfregiateconunasvastica,2007-05-26,2007,5,26,05-26,Q220,Roma
532,22.05.07  - Brescia: assalto e reazione," 22.05.07  - Brescia: assalto e reazione
una quindicina di noti fascisti e naziskin, hanno tentato di aggredire, nei pressi del locale Easy Rider in via Milano , alcune persone che stavano tornando a casa al termine della serata trascorsa al centro sociale autogestito Magazzino 47",/antifa/article/1461/Bresciaassaltoereazione,2007-05-22,2007,5,22,05-22,-,Brescia
533," 20.05.07  - Rovigo:aggressione omofoba, 11 denunciati"," 20.05.07  - Rovigo:aggressione omofoba, 11 denunciati
Nuovo, brutale, caso di bullismo antiomosessuale. Stavolta, dopo lo scherno e gli insulti, si è passati alla violenza fisica tanto che i carabinieri di Rovigo, a conclusione delle indagini hanno denunciato undici ragazzi per le violenze ai danni di un coetaneo",/antifa/article/1460/Rovigoaggressioneomofoba11denunciati,2007-05-20,2007,5,20,05-20,-,Rovigo
534,20.05.07  - Bologna: aggressioni e molestie all'Università," 20.05.07  - Bologna: aggressioni e molestie all'Università
“Spintonata e palpeggiata da un gruppo di Student Office”
L’episodio denunciato alla polizia,è avvenuto dopo un diverbio al termine  delle elezioni per l’ateneo.
",/antifa/article/1459/BolognaaggressioniemolestieallUniversita,2007-05-20,2007,5,20,05-20,-,Bologna
535,20.05.07  - Trieste: aggressione fascista," 20.05.07  - Trieste: aggressione fascista
Nella notte tra venerdì 18 e sabato 19 maggio il presidio permanente per il diritto alla casa in piazza a Trieste è stato violentemente attaccato da una squadraccia fascista.Facciamo appello a tutt* coloro le/i quali hanno a cuore la libertà e la
giustizia sociale a non sottovalutare l’episodio della notte scorsa e a vigilare contro ogni tentativo di impedire l’agibilità sociale e politica delle famiglie in lotta a Trieste.",/antifa/article/1458/Triesteaggressionefascista,2007-05-20,2007,5,20,05-20,-,Trieste
536,17.05.07  - Mi: Aggredito in pizzeria il presidente dell’Arcigay," 17.05.07  - Mi: Aggredito in pizzeria il presidente dell’Arcigay
Nella giornata internazionale contro l’omofobia si registra la notizia dell’ennesima aggressione",/antifa/article/1455/MiAggreditoinpizzeriailpresidentedellArcigay,2007-05-17,2007,5,17,05-17,-,Milano
537," 11.05.07  - Roma a ""La Sapienza"": ragazzi della SG assaliti nella notte dopo un'attacchinaggio"," 11.05.07  - Roma a ""La Sapienza"": ragazzi della SG assaliti nella notte dopo un'attacchinaggio
una decina di giovani fascisti armati di catene, bastoni, bottiglie, hanno aggredito i ragazzi, prima di andarsene correndo. I giovani aggrediti hanno riportato varie contusioni, e ad uno di loro sono state inflitte varie ferite sul volto.",/antifa/article/1452/RomaaLaSapienzaragazzidellaSGassalitinellanottedopounattacchinaggio,2007-05-11,2007,5,11,05-11,Q220,Roma
538,11.05.07  - Fano: Studente aggredito all'interno del liceo," 11.05.07  - Fano: Studente aggredito all'interno del liceo
Uno studente liceale di 17 anni che indossava una maglietta antifascista è stato aggredito ieri davanti al Liceo classico ‘Nolfi’ di Fano…  agenzia e comunicato",/antifa/article/1451/FanoStudenteaggreditoallinternodelliceo,2007-05-11,2007,5,11,05-11,-,Fano
539,7.05.07  - Roma: aggredito all'uscita di una discoteca gay," 7.05.07  - Roma: aggredito all'uscita di una discoteca gay
Un giovane omosessuale e’ stato aggredito la notte scorsa a Roma da quattro ragazzi tra i 18 e i 22 anni, all’uscita di una discoteca gay.",/antifa/article/1447/Romaaggreditoalluscitadiunadiscotecagay,2007-05-07,2007,5,7,05-07,-,Roma
540,27.04.07  - Parma: aggredito venditore di rose in pieno centro," 27.04.07  - Parma: aggredito venditore di rose in pieno centro
“le tue rose di merda valle a vendere da un’altra parte”...All’amico marocchino diceva “tu non mi parlare nè toccare marocchino di merda” e si lanciava su di lui che fortunatamente schivava il colpo e tentava (riuscendoci) di fermare le iniziative dell’aggressore…",/antifa/article/1431/Parmaaggreditovenditorediroseinpienocentro,2007-04-27,2007,4,27,04-27,-,Parma
